Begin Bates num from PRODUCTION,End Bates num from PRODUCTION,Tag: RFP 4,Tag: RFP 5,Tag: RFP 9,Tag: RFP 14,Tag: RFP 15,Tag: RFP 17,Tag: RFP 19,Tag: RFP 22,Tag: RFP 25,Tag: RFP 31,Tag: RFP 32,Tag: RFP 34,Tag: RFP 35,Tag: RFP 36,Tag: RFP 37,Tag: RFP 39,Tag: RFP 45,Tag: RFP 52,Tag: RFP 54,Tag: RFP 55,Tag: RFP 56
EXAMPLE_008155,EXAMPLE_008273,,,,,,,,,,,,,,,,,,,,,TRUE
EXAMPLE_005824,EXAMPLE_005825,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005826,EXAMPLE_005826,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005827,EXAMPLE_005827,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005828,EXAMPLE_005828,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005829,EXAMPLE_005829,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005830,EXAMPLE_005830,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005831,EXAMPLE_005831,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005832,EXAMPLE_005832,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005833,EXAMPLE_005833,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005834,EXAMPLE_005834,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005835,EXAMPLE_005835,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005836,EXAMPLE_005836,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005837,EXAMPLE_005837,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005838,EXAMPLE_005838,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005839,EXAMPLE_005839,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005840,EXAMPLE_005840,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005841,EXAMPLE_005841,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005842,EXAMPLE_005842,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005843,EXAMPLE_005843,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005844,EXAMPLE_005844,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005845,EXAMPLE_005845,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005846,EXAMPLE_005846,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005847,EXAMPLE_005847,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005848,EXAMPLE_005848,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005849,EXAMPLE_005849,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005850,EXAMPLE_005851,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005852,EXAMPLE_005852,,,,,,,,,,,,,TRUE,,,,,,,,
EXAMPLE_005853,EXAMPLE_005853,,,,,,,,,,,,,TRUE,,,,,,,,
