Begin Bates num from PRODUCTION,End Bates num from PRODUCTION,Tag: RFP 01,Tag: RFP 02,Tag: RFP 03,Tag: RFP 04,Tag: RFP 05,Tag: RFP 06,Tag: RFP 07,Tag: RFP 08,Tag: RFP 09,Tag: RFP 10,Tag: RFP 11,Tag: RFP 12,Tag: RFP 13,Tag: RFP 14,Tag: RFP 15,Tag: RFP 16,Tag: RFP 17,Tag: RFP 18,Tag: RFP 19,Tag: RFP 20,Tag: RFP 21,Tag: RFP 22,Tag: RFP 23,Tag: RFP 24,Tag: RFP 25,Tag: RFP 26,Tag: RFP 27,Tag: RFP 28,Tag: RFP 29,Tag: RFP 30,Tag: RFP 31,Tag: RFP 32,Tag: RFP 33
EXAMPLE_003824,EXAMPLE_003825,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
EXAMPLE_004474,EXAMPLE_004474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004475,EXAMPLE_004475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004476,EXAMPLE_004476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004477,EXAMPLE_004477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004478,EXAMPLE_004479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003826,EXAMPLE_003826,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003827,EXAMPLE_003827,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003828,EXAMPLE_003828,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003829,EXAMPLE_003831,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003832,EXAMPLE_003837,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003838,EXAMPLE_003841,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003842,EXAMPLE_003842,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003843,EXAMPLE_003844,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003845,EXAMPLE_003846,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003847,EXAMPLE_003847,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003848,EXAMPLE_003849,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_003850,EXAMPLE_003850,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE_004480,EXAMPLE_004480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004481,EXAMPLE_004481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_004482,EXAMPLE_004482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003851,EXAMPLE_003851,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003852,EXAMPLE_003852,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
EXAMPLE_003853,EXAMPLE_003853,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
